Longitude_NAD83,Latitude_NAD83,Z_m,Hydraulic_conductivity_m/d,K_log transformed,measurement_method
607192.6,2375398.6,,56.2,1.75,
607192.8,2375367.8,,80.5,1.906,
607192.6,2375398.6,,68.5,1.836,
604664.6,2374674.9,,71.3,1.853,
604664.4,2374705.6,,51.6,1.713,
600937.4,2376988.1,,107.8,2.033,
600908.6,2376987.9,,222,2.346,
600908.6,2376987.9,,121.7,2.085,
599872.3,2377043,,418.3,2.621,
599958.6,2377043.5,,108.5,2.035,
603423.8,2379678.8,,511.5,2.709,
599130.5,2380697.3,,292.1,2.465,
597036.1,2379731.5,,505,2.703,
597456.4,2381609.6,,21.4,1.33,
598544.5,2382446.4,,51.9,1.715,
593683,2382417.5,,273.4,2.437,
590082.8,2383227.7,,5.7,0.758,
591290.6,2383264.9,,403.6,2.606,
591688.1,2384189.4,,2090,3.32,
586769.4,2384286.2,,349.6,2.544,
588006.2,2384292.9,,23.8,1.377,
585763.3,2384188.6,,769.4,2.886,
585733.7,2384342.2,,230.2,2.362,
586279.4,2384498.9,,235.5,2.372,
593606.8,2385645.4,,1379.5,3.14,
593919.5,2386293,,423.1,2.626,
593919.3,2386323.7,,330,2.518,
591794.8,2385665.9,,5668.3,3.753,
582071.9,2386168,,153.1,2.185,
594889,2387713,,632.6,2.801,
614216.2,2387499.8,,28.6,1.457,
614360.9,2387377.8,,60.3,1.78,
614419.3,2387255.2,,78.7,1.896,
614535,2387163.8,,30.3,1.481,
613955.3,2387805.4,,74.6,1.873,
613206.9,2387892.4,,11.2,1.048,
613262.5,2388169.5,,62.1,1.793,
611959.9,2389390.4,,60.4,1.781,
611378.9,2390247.3,,62.6,1.797,
612239.1,2390591.4,,39.8,1.6,
611365.1,2392245.9,,7.6,0.881,
611451.3,2392246.5,,77.6,1.89,
598425.2,2392592.3,,142.8,2.155,
611420.9,2392492.2,,11.9,1.075,
610610.8,2393224.7,,54.3,1.735,
610639.8,2393194.1,,22.9,1.361,
609746.3,2393526.3,,44.6,1.649,
610473,2392362.8,,220.9,2.344,
599590.2,2394813.2,,432,2.635,
599127.7,2395240.8,,1574.2,3.197,
608014.1,2394621.6,,91.9,1.963,
608014.1,2394621.6,,105.6,2.023,
607308.2,2397015.1,,39.5,1.597,
607279.3,2397045.7,,25.8,1.412,
603699.3,2399512.8,,42.1,1.624,
602756,2398738,,46.4,1.667,
602842.2,2398738.6,,254,2.405,
602813.2,2398769.1,,26.5,1.423,
608070.4,2399080.1,,85.3,1.931,
608017.9,2398341.9,,316.2,2.5,
605858.8,2398881.2,,101.5,2.006,
605711.7,2399402.9,,77.4,1.889,
605965.1,2400203.8,,9,0.954,
723871,2329671.8,,105.4,2.023,
720251.9,2330361.6,,1774.5,3.249,
720574,2330027.5,,23.5,1.371,
714647.3,2330534.2,,2830.4,3.452,
714001.5,2331356.4,,1280.8,3.107,
731603.1,2334330.1,,941.7,2.974,
708406.6,2333130.7,,10.4,1.016,
706199.2,2334210.4,,750,2.875,
707875.5,2336353.9,,32.5,1.512,
698824.6,2337718.9,,152.1,2.182,
705959.3,2339559.7,,158.4,2.2,
705987.8,2339590.8,,181,2.258,
705785.8,2339588.3,,140.4,2.147,
734388.3,2339506.6,,1020.4,3.009,
705379.2,2339798.5,,91.9,1.963,
703984.7,2340550.2,,42.1,1.624,
744790.8,2325194.8,,187.4,2.273,
768001.2,2282966.7,,253.7,2.404,
800796.4,2284687.1,,216.3,2.335,
794403.4,2284113,,238.2,2.377,
792785.1,2283869.5,,183.1,2.263,
767304,2284924.9,,1348.8,3.13,
767113,2284183.4,,217.1,2.337,
767217.2,2284923.6,,1729.4,3.238,
807264.4,2287511.9,,76.4,1.883,
805853.1,2287055.4,,1036.9,3.016,
805286.6,2286337.2,,845.6,2.927,
805157.4,2287073.6,,45.4,1.657,
767757.6,2285547.5,,361,2.557,
767335.2,2286617.8,,103.1,2.013,
767373.4,2286033.7,,1177.7,3.071,
767437.6,2285634.7,,650.1,2.813,
767509.9,2286559,,86.1,1.935,
767327.6,2285263.8,,886.5,2.948,
767353.7,2285448.8,,762.4,2.882,
766558.8,2286267,,1454.8,3.163,
766960.5,2288334.9,,118.1,2.072,
766941.8,2287688.5,,79.2,1.899,
767064.9,2287228.9,,1084.2,3.035,
767258.8,2287785.8,,116.1,2.065,
766729.9,2288269.8,,1940.8,3.288,
768410.7,2290019.5,,2830.4,3.452,
768384.7,2289834.4,,679.7,2.832,
767054.4,2289721.1,,1827,3.262,
767035.2,2289105.4,,1215.3,3.085,
767194.3,2290031,,636.9,2.804,
766951.5,2290734.8,,1290,3.111,
766996.8,2291535.6,,186.2,2.27,
767059.1,2291259.6,,705.6,2.849,
766292.4,2292139.8,,1322,3.121,
766563.6,2291467.2,,2741,3.438,
766200.2,2292476.8,,781.5,2.893,
766642.1,2291991.5,,3681.6,3.566,
812243.1,2294005.3,,976.8,2.99,
765927.1,2293272.5,,620.3,2.793,
766032.2,2293951.1,,1014.6,3.006,
765714.8,2293884.6,,1506.4,3.178,
769237.8,2296248.3,,309.1,2.49,
769237.8,2296248.3,,392.2,2.593,
766832.8,2294579.2,,498.8,2.698,
765345.5,2297109.6,,977.5,2.99,
765482.9,2297573.3,,292.1,2.465,
812760.4,2297339.1,,1348.8,3.13,
811899.8,2300031.8,,443.4,2.647,
811815.8,2299876.3,,845.6,2.927,
764378.5,2299709.8,,1750.4,3.243,
809629.5,2300697.8,,1718.1,3.235,
808948,2301547.1,,501.4,2.7,
764487.9,2300111.5,,417.8,2.621,
806833.1,2303232,,2726.7,3.436,
774397.2,2302916.7,,677.8,2.831,
773962.8,2302940.4,,203,2.307,
770294.4,2302542.4,,154.5,2.189,
761012.6,2302149.5,,271.5,2.434,
761012.6,2302149.5,,941.7,2.974,
759167.9,2301690.1,,562.8,2.75,
758697,2302205.9,,746.7,2.873,
752338.4,2301770.7,,2249.5,3.352,
750615.7,2302821.7,,797.2,2.902,
751667.1,2302160.6,,73.6,1.867,
804224.5,2305031.2,,72.4,1.86,
761359.9,2304001,,16.7,1.222,
759019.5,2303810.9,,235.9,2.373,
775300.9,2306039.5,,448.8,2.652,
798124.1,2307968.6,,178.5,2.252,
798152.5,2307999.9,,281.8,2.45,
780393,2307755,,164.4,2.216,
761946.3,2309056.2,,345,2.538,
761300.5,2307815.4,,828.8,2.918,
761183.8,2307875.1,,243.5,2.387,
758596,2308758,,215.7,2.334,
746611.5,2307561.8,,177.2,2.248,
745825.8,2307888.7,,235.1,2.371,
776802.7,2309695.4,,763.4,2.883,
762491.4,2309341.7,,454.3,2.657,
762789.6,2310607.9,,217.4,2.337,
761179.6,2309998.1,,459,2.662,
761120.8,2310058.7,,2355.7,3.372,
760920.9,2309901.8,,232.4,2.366,
758703.4,2311159.6,,281.4,2.449,
745284.1,2309326.7,,597.5,2.776,
789513,2312372.5,,29.9,1.476,
789569.7,2312435.1,,126.4,2.102,
781226.5,2311523.3,,51.7,1.714,
777621.2,2312663.2,,2625.1,3.419,
777032.4,2311545.6,,880.9,2.945,
765460,2311819.4,,4386.2,3.642,
764735.7,2311900.2,,338.9,2.53,
762633,2311374.7,,324.2,2.511,
762633,2311374.7,,1170.4,3.068,
762633.5,2311343.9,,370.7,2.569,
762633.5,2311343.9,,322.1,2.508,
762863.8,2311409.1,,191.9,2.283,
762291.3,2311030.9,,3849.5,3.585,
762969.3,2312056.9,,888.8,2.949,
761747.8,2312499.3,,292.1,2.465,
761524.7,2311972.7,,1348.7,3.13,
761520.4,2312249.6,,228.1,2.358,
761778.2,2312407.4,,316.1,2.5,
758905.8,2311162.7,,175.7,2.245,
758864,2311992.8,,1114.6,3.047,
758810,2311745.8,,394.2,2.596,
758809.6,2311776.6,,481.6,2.683,
758838.5,2311777.1,,124,2.093,
743404.6,2311299.1,,438,2.641,
743404.6,2311299.1,,1408.2,3.149,
743885.8,2312013.7,,202.7,2.307,
744061,2311893.2,,157.1,2.196,
790211.8,2313769.5,,243.1,2.386,
789184.4,2314644.2,,557,2.746,
788513.6,2314971.1,,323.9,2.51,
788571.4,2314972.1,,63.5,1.803,
788433.8,2314569.7,,797.2,2.902,
787481.3,2314461,,407.6,2.61,
