id,Easting,Northing,Type,Diameter,Length,Width,Depth_W,Water_table,Time,Depth_L,Radius,LdivR,Hydraulic_conductivity_m/s,lnKs,Normalized
219,21250,85551,1,1,0,0,3.9,2.5,34,1.4,0.5,2.8,11.111,2.41,8.62
220,20724,84772,1,1.2,0,0,9.78,8.23,171,1.55,0.6,2.58,2.815,1.04,7.25
221,20652,84031,1,1,0,0,9.96,9,59,0.96,0.5,1.92,8.466,2.14,8.35
222,20759,84720,2,0,1,1,7.68,6.42,84,1.26,0.1,12.44,0.286,-1.25,4.96
223,21361,81775,1,0.97,0,0,9,3.52,1945,5.48,0.49,11.3,0.064,-2.75,3.47
224,22250,83344,1,1,0,0,10.82,9.02,3138,1.8,0.5,3.6,0.1,-2.31,3.91
225,22329,83318,2,0,1,1,10.32,9.47,1190,0.85,0.1,8.39,0.028,-3.59,2.64
278,6139,2427,1,1.6,0,0,4.68,1.15,525,3.53,0.8,4.41,0.816,-0.2,6.01
279,6359,2055,1,2.4,0,0,4.73,0.65,1115,4.08,1.2,3.4,0.703,-0.35,5.86
280,6339,2137,1,2.4,0,0,4.5,1.88,860,2.62,1.2,2.18,1.268,0.24,6.45
281,6552,1498,1,2.3,0,0,4.4,1.65,510,2.75,1.15,2.39,1.916,0.65,6.86
282,6474,1277,1,2.3,0,0,4.1,1.5,240,2.6,1.15,2.26,4.244,1.45,7.66
283,6478,1172,1,2.3,0,0,5.6,2.9,2055,2.7,1.15,2.35,0.482,-0.73,5.48
284,6304,851,1,2.2,0,0,5.15,1.2,2115,3.95,1.1,3.59,0.326,-1.12,5.09
285,6489,1683,1,2.3,0,0,6.12,1.8,255,4.32,1.15,3.76,2.731,1,7.22
286,6682,3741,1,2.2,0,0,4.5,2.3,510,2.2,1.1,2,2.091,0.74,6.95
287,6407,1618,2,0,2.38,2.3,6,1.9,225,4.1,0.55,7.39,0.885,-0.12,6.09
293,6902,25472,1,2.2,0,0,3.9,3.25,780,0.65,1.1,0.59,3.273,1.19,7.4
294,6970,25573,1,2.35,0,0,3.45,2.65,870,0.8,1.18,0.68,2.838,1.04,7.26
295,7512,25777,1,2.05,0,0,2.7,1.8,1890,0.9,1.03,0.88,0.952,-0.05,6.17
296,7458,25765,2,0,1,1.3,0.85,0.85,430,0.85,0.13,6.45,0.122,-2.1,4.11
297,1104,27772,1,1.7,0,0,4,2,120,2,0.85,2.35,6.091,1.81,8.02
298,1015,27861,1,1.5,0,0,6.1,3.5,17435,2.6,0.75,3.47,0.028,-3.59,2.64
299,973,27881,1,1.95,0,0,4.1,0.8,5400,3.3,0.98,3.38,0.118,-2.13,4.08
300,2189,27813,1,2,0,0,6.15,1.65,15540,4.5,1,4.5,0.034,-3.38,2.83
301,1886,23793,1,1.75,0,0,7.7,5.7,2685,2,0.88,2.29,0.286,-1.25,4.96
302,1699,23629,1,2,0,0,9.5,8.2,340,1.3,1,1.3,3.901,1.36,7.58
303,1572,23313,1,2.6,0,0,3.1,1.3,1510,1.8,1.3,1.38,1.091,0.09,6.3
