,site_id,X_m,Y_m,East_UTM_km,North_UTM_km,K_m/d,log_K_m/d,measurement_method,data_source,ISO 3166
122,Hawaii_aquifer_Maui,612044.2,2364638.7,,,1067.4,6.972981063899844,nan,10.1007/s10040-007-0271-0,US
123,Hawaii_aquifer_Maui,602884.7,2364824.4,,,270.5,5.600272098286537,nan,10.1007/s10040-007-0271-0,US
124,Hawaii_aquifer_Maui,602852.8,2365316.2,,,98.6,4.591071261608589,nan,10.1007/s10040-007-0271-0,US
125,Hawaii_aquifer_Maui,602852.8,2365316.2,,,79.7,4.378269585796169,nan,10.1007/s10040-007-0271-0,US
126,Hawaii_aquifer_Maui,602852.8,2365316.2,,,88.2,4.4796069630127455,nan,10.1007/s10040-007-0271-0,US
127,Hawaii_aquifer_Maui,601154.5,2365182.6,,,1086.7,6.990900860068806,nan,10.1007/s10040-007-0271-0,US
128,Hawaii_aquifer_Maui,601183.1,2365213.5,,,4159.5,8.333150153723942,nan,10.1007/s10040-007-0271-0,US
129,Hawaii_aquifer_Maui,601183.3,2365182.8,,,977.5,6.884998291859521,nan,10.1007/s10040-007-0271-0,US
130,Hawaii_aquifer_Maui,601154.7,2365151.8,,,1925.9,7.563148669930166,nan,10.1007/s10040-007-0271-0,US
131,Hawaii_aquifer_Maui,602244.8,2365835.1,,,375.8,5.929057086979365,nan,10.1007/s10040-007-0271-0,US
132,Hawaii_aquifer_Maui,602215.8,2365865.6,,,425.4,6.053029902766137,nan,10.1007/s10040-007-0271-0,US
133,Hawaii_aquifer_Maui,602273.4,2365866.0,,,307.4,5.728149831104496,nan,10.1007/s10040-007-0271-0,US
134,Hawaii_aquifer_Maui,602273.0,2365927.5,,,568.9,6.343704671756601,nan,10.1007/s10040-007-0271-0,US
135,Hawaii_aquifer_Maui,601723.4,2366323.7,,,506.8,6.228116448446984,nan,10.1007/s10040-007-0271-0,US
136,Hawaii_aquifer_Maui,600320.2,2365054.5,,,178.6,5.185148668442399,nan,10.1007/s10040-007-0271-0,US
137,Hawaii_aquifer_Maui,600291.4,2365054.3,,,769.1,6.6452210000630085,nan,10.1007/s10040-007-0271-0,US
138,Hawaii_aquifer_Maui,600291.6,2365023.5,,,186.2,5.226821364842967,nan,10.1007/s10040-007-0271-0,US
139,Hawaii_aquifer_Maui,600262.6,2365054.1,,,58.7,4.072439726834051,nan,10.1007/s10040-007-0271-0,US
140,Hawaii_aquifer_Maui,598302.7,2365319.0,,,752.4,6.623268097426875,nan,10.1007/s10040-007-0271-0,US
141,Hawaii_aquifer_Maui,598388.7,2365380.9,,,3551.9,8.1752379505626,nan,10.1007/s10040-007-0271-0,US
142,Hawaii_aquifer_Maui,597493.8,2365744.6,,,141.5,4.952299717083292,nan,10.1007/s10040-007-0271-0,US
143,Hawaii_aquifer_Maui,597464.6,2365806.0,,,1738.4,7.46072042894222,nan,10.1007/s10040-007-0271-0,US
144,Hawaii_aquifer_Maui,597377.9,2365867.0,,,1329.5,7.1925582106830745,nan,10.1007/s10040-007-0271-0,US
145,Hawaii_aquifer_Maui,597377.9,2365867.0,,,1471.6,7.294105523230619,nan,10.1007/s10040-007-0271-0,US
146,Hawaii_aquifer_Maui,611581.1,2364973.7,,,1502.1,7.314619408004009,nan,10.1007/s10040-007-0271-0,US
147,Hawaii_aquifer_Maui,610971.1,2365738.3,,,8.1,2.0918640616783932,nan,10.1007/s10040-007-0271-0,US
148,Hawaii_aquifer_Maui,610971.1,2365738.3,,,40.0,3.6888794541139363,nan,10.1007/s10040-007-0271-0,US
149,Hawaii_aquifer_Maui,610942.1,2365768.8,,,498.5,6.211603589401893,nan,10.1007/s10040-007-0271-0,US
150,Hawaii_aquifer_Maui,610970.9,2365769.0,,,538.6,6.288973180377498,nan,10.1007/s10040-007-0271-0,US
151,Hawaii_aquifer_Maui,610999.7,2365769.2,,,124.9,4.827513417131532,nan,10.1007/s10040-007-0271-0,US
152,Hawaii_aquifer_Maui,610999.9,2365738.5,,,113.6,4.732683506287051,nan,10.1007/s10040-007-0271-0,US
153,Hawaii_aquifer_Maui,611028.5,2365769.4,,,116.8,4.760463070394127,nan,10.1007/s10040-007-0271-0,US
