,x,y,z,Hydraulic_conductivity_m/d
589,2611.2,5576.0,45.2,1e-05
590,2620.8,5596.5,45.2,1e-05
591,2630.4,5617.0,45.2,1e-05
592,2640.0,5637.5,45.2,1e-05
593,2649.6,5658.0,45.2,1e-05
594,2659.2,5678.5,45.2,1e-05
595,2668.8,5699.0,45.2,1e-05
596,2678.4,5719.5,45.2,1e-05
597,2688.0,5740.0,45.2,1e-05
598,2697.6,5760.5,45.2,1e-05
599,2707.2,5781.0,45.2,1e-05
600,2716.8,5801.5,45.2,1e-05
601,2726.4,5822.0,45.2,1e-05
602,2736.0,5842.5,45.2,1e-05
603,2745.6,5863.0,45.2,1e-05
604,2755.2,5883.5,45.2,1e-05
605,2764.8,5904.0,45.2,1e-05
606,2774.4,5924.5,45.2,1e-05
607,2784.0,5945.0,45.2,1e-05
608,2793.6,5965.5,45.2,1e-05
609,2803.2,5986.0,45.2,1e-05
610,2812.8,6006.5,45.2,1e-05
611,2822.4,6027.0,45.2,1e-05
612,2832.0,6047.5,45.2,1e-05
613,2841.6,6068.0,45.2,1e-05
614,2851.2,6088.5,45.2,1e-05
615,2860.8,6109.0,45.2,1e-05
616,2870.4,6129.5,45.2,1e-05
617,2880.0,6150.0,45.2,1e-05
618,2889.6,6170.5,45.2,1e-05
619,2899.2,6191.0,45.2,1e-05
620,2908.8,6211.5,45.2,1e-05
621,2918.4,6232.0,45.2,1e-05
622,2928.0,6252.5,45.2,1e-05
623,2937.6,6273.0,45.2,1e-05
624,2947.2,6293.5,45.2,1e-05
625,2956.8,6314.0,45.2,1e-05
626,2966.4,6334.5,45.2,1e-05
627,2976.0,6355.0,45.2,1e-05
628,2985.6,6375.5,45.2,1e-05
629,2995.2,6396.0,45.2,1e-05
630,3004.8,6416.5,45.2,1e-05
631,3014.4,6437.0,45.2,1e-05
632,3024.0,6457.5,45.2,1e-05
633,3033.6,6478.0,45.2,1e-05
634,3043.2,6498.5,45.2,1e-05
635,3052.8,6519.0,45.2,1e-05
636,9.6,20.5,67.8,1e-05
637,19.2,41.0,67.8,1e-05
638,28.8,61.5,67.8,1e-05
639,38.4,82.0,67.8,1e-05
640,48.0,102.5,67.8,1e-05
641,57.6,123.0,67.8,1e-05
642,67.2,143.5,67.8,1e-05
643,76.8,164.0,67.8,1e-05
644,86.4,184.5,67.8,1e-05
645,96.0,205.0,67.8,1e-05
646,105.6,225.5,67.8,1e-05
647,115.2,246.0,67.8,1e-05
648,124.8,266.5,67.8,1e-05
649,134.4,287.0,67.8,1e-05
650,144.0,307.5,67.8,1e-05
651,153.6,328.0,67.8,1e-05
652,163.2,348.5,67.8,1e-05
653,172.8,369.0,67.8,1e-05
654,182.4,389.5,67.8,1e-05
655,192.0,410.0,67.8,1e-05
656,201.6,430.5,67.8,1e-05
657,211.2,451.0,67.8,1e-05
658,220.8,471.5,67.8,1e-05
659,230.4,492.0,67.8,1e-05
660,240.0,512.5,67.8,1e-05
661,249.6,533.0,67.8,1e-05
662,259.2,553.5,67.8,1e-05
663,268.8,574.0,67.8,0.001
664,278.4,594.5,67.8,0.001
665,288.0,615.0,67.8,1e-24
666,297.6,635.5,67.8,0.001
667,307.2,656.0,67.8,0.001
668,316.8,676.5,67.8,0.001
669,326.4,697.0,67.8,0.001
670,336.0,717.5,67.8,0.001
671,345.6,738.0,67.8,0.001
