"x" "y" "z" "Facies"
2668.8 5699 22.6 6
2678.4 5719.5 22.6 6
2688 5740 22.6 6
2697.6 5760.5 22.6 6
2707.2 5781 22.6 6
2716.8 5801.5 22.6 6
2726.4 5822 22.6 6
2736 5842.5 22.6 6
2745.6 5863 22.6 6
2755.2 5883.5 22.6 6
2764.8 5904 22.6 6
2774.4 5924.5 22.6 6
2784 5945 22.6 6
2793.6 5965.5 22.6 6
2803.2 5986 22.6 6
2812.8 6006.5 22.6 6
2822.4 6027 22.6 6
2832 6047.5 22.6 6
2841.6 6068 22.6 6
2851.2 6088.5 22.6 6
2860.8 6109 22.6 6
2870.4 6129.5 22.6 6
2880 6150 22.6 6
2889.6 6170.5 22.6 6
2899.2 6191 22.6 6
2908.8 6211.5 22.6 6
2918.4 6232 22.6 6
2928 6252.5 22.6 6
2937.6 6273 22.6 6
2947.2 6293.5 22.6 6
2956.8 6314 22.6 6
2966.4 6334.5 22.6 6
2976 6355 22.6 6
2985.6 6375.5 22.6 6
2995.2 6396 22.6 6
3004.8 6416.5 22.6 6
3014.4 6437 22.6 6
3024 6457.5 22.6 6
3033.6 6478 22.6 6
3043.2 6498.5 22.6 6
3052.8 6519 22.6 6
9.6 20.5 45.2 6
19.2 41 45.2 6
28.8 61.5 45.2 6
38.4 82 45.2 6
48 102.5 45.2 6
57.6 123 45.2 6
67.2 143.5 45.2 6
76.8 164 45.2 6
86.4 184.5 45.2 6
96 205 45.2 6
105.6 225.5 45.2 6
115.2 246 45.2 6
124.8 266.5 45.2 6
134.4 287 45.2 6
144 307.5 45.2 6
153.6 328 45.2 6
163.2 348.5 45.2 6
172.8 369 45.2 6
182.4 389.5 45.2 6
192 410 45.2 6
201.6 430.5 45.2 6
211.2 451 45.2 6
220.8 471.5 45.2 6
230.4 492 45.2 6
240 512.5 45.2 6
249.6 533 45.2 3
259.2 553.5 45.2 3
268.8 574 45.2 3
278.4 594.5 45.2 3
288 615 45.2 3
297.6 635.5 45.2 3
307.2 656 45.2 3
316.8 676.5 45.2 2
326.4 697 45.2 2
336 717.5 45.2 2
345.6 738 45.2 2
355.2 758.5 45.2 2
364.8 779 45.2 2
