,X_m,Y_m,Z_m,Hydraulic_conductivity_m/s
205,9,-1,1.25,5.64593213E-05
206,9,-1,1.3,6.31072618E-05
207,9,-1,1.35,0.000116021739
208,9,-1,1.4,6.80907731E-05
209,9,-1,1.45,4.61022761E-05
210,9,-1,1.5,5.24633826E-05
211,9,-1,1.55,4.36896428E-05
212,9,-1,1.6,6.79702585E-05
213,9,-1,1.65,0.000119264583
214,9,-1,1.7,0.000119636124
215,9,-1,1.75,0.000125091843
216,9,0,0,0.000174437997
217,9,0,0.05,0.000203191513
218,9,0,0.1,0.000137645863
219,9,0,0.15,0.000206239386
220,9,0,0.2,0.000229959257
221,9,0,0.25,0.000183073541
222,9,0,0.3,0.000146957699
223,9,0,0.35,0.000154963177
224,9,0,0.4,0.000183323898
225,9,0,0.45,0.000196706677
226,9,0,0.5,0.00014280528
227,9,0,0.55,6.33324198E-05
228,9,0,0.6,0.000102682341
229,9,0,0.65,0.000116790429
230,9,0,0.7,0.00011062649
231,9,0,0.75,0.00013334443
232,9,0,0.8,0.000120067712
233,9,0,0.85,0.000115672277
234,9,0,0.9,0.000118882198
235,9,0,0.95,9.16544054E-05
236,9,0,1,7.27969595E-05
237,9,0,1.05,0.000134748056
238,9,0,1.1,0.000202122083
239,9,0,1.15,0.00017391064
240,9,0,1.2,8.84709453E-05
241,9,0,1.25,0.000109410815
242,9,0,1.3,0.000103878807
243,9,0,1.35,6.77305045E-05
244,9,0,1.4,6.81944121E-05
245,9,0,1.45,0.000106675544
246,9,0,1.5,0.000102408522
247,9,0,1.55,0.000123881277
248,9,0,1.6,9.89773094E-05
249,9,0,1.65,8.04556296E-05
250,9,0,1.7,0.000133024659
251,9,0,1.75,8.00451417E-05
252,9,1,0,0.000158037843
253,9,1,0.05,0.000167699545
254,9,1,0.1,7.71148515E-05
255,9,1,0.15,0.000154229703
256,9,1,0.2,0.000138639696
257,9,1,0.25,0.000148849596
258,9,1,0.3,0.000205449196
259,9,1,0.35,0.000155872941
260,9,1,0.4,0.000139902353
261,9,1,0.45,9.15367703E-05
262,9,1,0.5,0.000114770999
263,9,1,0.55,0.000111637197
264,9,1,0.6,0.000112063198
265,9,1,0.65,0.000166247601
266,9,1,0.7,0.00019463608
267,9,1,0.75,3.87519637E-05
268,9,1,0.8,6.37926844E-05
269,9,1,0.85,8.82832092E-05
270,9,1,0.9,8.33041128E-05
271,9,1,0.95,9.27613428E-05
272,9,1,1,9.23153745E-05
273,9,1,1.05,0.000114847377
274,9,1,1.1,0.000138359979
275,9,1,1.15,0.000137154271
276,9,1,1.2,0.00011816368
277,9,1,1.25,6.19406388E-05
278,9,1,1.3,5.07978783E-05
279,9,1,1.35,6.30470121E-05
280,9,1,1.4,6.67524466E-05
281,9,1,1.45,7.86826712E-05
282,9,1,1.5,5.82375676E-05
283,9,1,1.55,5.45499944E-05
284,9,1,1.6,7.36670427E-05
285,9,1,1.65,0.000101327693
286,9,1,1.7,5.66906505E-07
287,9,1,1.75,7.72526282E-06
288,9,2,0,0.000231344554
289,9,2,0.05,0.000173770117
290,9,2,0.1,0.000146957699
291,9,2,0.15,0.000118528382
292,9,2,0.2,0.000106380044
293,9,2,0.25,0.00012674322
294,9,2,0.3,0.000164116222
295,9,2,0.35,0.000156645439
296,9,2,0.4,0.000106012962
297,9,2,0.45,4.67875195E-05
298,9,2,0.5,3.35884245E-05
299,9,2,0.55,0.000105503285
300,9,2,0.6,0.000100824142
301,9,2,0.65,0.000132424813
302,9,2,0.7,9.05735756E-05
303,9,2,0.75,5.97250327E-05
304,9,2,0.8,1.7252214E-05
305,9,2,0.85,3.62709805E-05
306,9,2,0.9,6.96972705E-05
307,9,2,0.95,7.95097227E-05
308,9,2,1,8.91104943E-05
309,9,2,1.05,0.000142234059
310,9,2,1.1,0.000158037843
311,9,2,1.15,0.000211006571
312,9,2,1.2,0.000119293081
313,9,2,1.25,0.000107571977
314,9,2,1.3,7.74257985E-05
315,9,2,1.35,5.69780357E-05
316,9,2,1.4,0.000139647985
317,9,2,1.45,0.000126094023
318,9,2,1.5,0.000110721123
319,9,2,1.55,7.69603127E-05
320,9,2,1.6,5.59347425E-05
321,9,2,1.65,2.40444243E-05
322,9,2,1.7,6.77544709E-06
323,9,2,1.75,2.16570346E-05
324,9,3,0,0.000177792574
325,9,3,0.05,0.00017221164
326,9,3,0.1,0.000186423281
327,9,3,0.15,0.000161892424
328,9,3,0.2,0.000143832194
329,9,3,0.25,0.000147704599
330,9,3,0.3,0.000133504893
331,9,3,0.35,0.00010435651
332,9,3,0.4,0.000124454801
333,9,3,0.45,0.000154851596
334,9,3,0.5,0.000127961437
335,9,3,0.55,0.000114636405
336,9,3,0.6,0.00011395607
337,9,3,0.65,7.71812726E-05
338,9,3,0.7,9.10028339E-05
339,9,3,0.75,2.68542834E-05
340,9,3,0.8,5.02847685E-05
341,9,3,0.85,4.53593811E-05
342,9,3,0.9,6.72728659E-05
343,9,3,0.95,8.51512102E-05
344,9,3,1,7.09805287E-05
345,9,3,1.05,0.000237056765
346,9,3,1.1,0.000212172353
347,9,3,1.15,0.000309703193
348,9,3,1.2,0.000157390147
349,9,3,1.25,7.25958337E-05
350,9,3,1.3,2.30234988E-05
351,9,3,1.35,0.000160090283
